textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,OBAMA,"Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, Ole Miss, for hosting us tonight. I can’t think of a more important time for us to talk about the future of the country. You know, we are at a defining moment in our history. Our nation is involved in two wars, and we are going through the worst financial crisis since the Great Depression. And although we’ve heard a lot about Wall Street, those of you on Main Street I think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy. And you’re wondering, how’s it going to affect me? How’s it going to affect my job? How’s it going to affect my house? How’s it going to affect my retirement savings or my ability to send my children to college? So we have to move swiftly, and we have to move wisely. And I’ve put forward a series of proposals that make sure that we protect taxpayers as we engage in this important rescue effort. Number one, we’ve got to make sure that we’ve got oversight over this whole process; $700 billion, potentially, is a lot of money. Number two, we’ve got to make sure that taxpayers, when they are putting their money at risk, have the possibility of getting that money back and gains, if the market — and when the market returns. Number three, we’ve got to make sure that none of that money is going to pad CEO bank accounts or to promote golden parachutes. And, number four, we’ve got to make sure that we’re helping homeowners, because the root problem here has to do with the foreclosures that are taking place all across the country. Now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by George Bush, supported by Senator McCain, a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down. It hasn’t worked. And I think that the fundamentals of the economy have to be measured by whether or not the middle class is getting a fair shake. That’s why I’m running for president, and that’s what I hope we’re going to be talking about tonight.",0.06500591,0.889524,0.8357817,0.7166406,0.8229677,0.6320804,0.8545592,0.8870737
2,MCCAIN,"Well, thank you, Jim. And thanks to everybody. And I do have a sad note tonight. Senator Kennedy is in the hospital. He’s a dear and beloved friend to all of us. Our thoughts and prayers go out to the lion of the Senate. I also want to thank the University of Mississippi for hosting us tonight. And, Jim, I — I’ve been not feeling too great about a lot of things lately. So have a lot of Americans who are facing challenges. But I’m feeling a little better tonight, and I’ll tell you why. Because as we’re here tonight in this debate, we are seeing, for the first time in a long time, Republicans and Democrats together, sitting down, trying to work out a solution to this fiscal crisis that we’re in. And have no doubt about the magnitude of this crisis. And we’re not talking about failure of institutions on Wall Street. We’re talking about failures on Main Street, and people who will lose their jobs, and their credits, and their homes, if we don’t fix the greatest fiscal crisis, probably in — certainly in our time, and I’ve been around a little while. But the point is — the point is, we have finally seen Republicans and Democrats sitting down and negotiating together and coming up with a package. This package has transparency in it. It has to have accountability and oversight. It has to have options for loans to failing businesses, rather than the government taking over those loans. We have to — it has to have a package with a number of other essential elements to it. And, yes, I went back to Washington, and I met with my Republicans in the House of Representatives. And they weren’t part of the negotiations, and I understand that. And it was the House Republicans that decided that they would be part of the solution to this problem. But I want to emphasize one point to all Americans tonight. This isn’t the beginning of the end of this crisis. This is the end of the beginning, if we come out with a package that will keep these institutions stable. And we’ve got a lot of work to do. And we’ve got to create jobs. And one of the areas, of course, is to eliminate our dependence on foreign oil.",0.032156147,0.9422986,0.86872923,0.61247724,0.84261227,0.6215046,0.8264265,0.91199017
3,OBAMA,"We haven’t seen the language yet. And I do think that there’s constructive work being done out there. So, for the viewers who are watching, I am optimistic about the capacity of us to come together with a plan. The question, I think, that we have to ask ourselves is, how did we get into this situation in the first place? Two years ago, I warned that, because of the subprime lending mess, because of the lax regulation, that we were potentially going to have a problem and tried to stop some of the abuses in mortgages that were taking place at the time. Last year, I wrote to the secretary of the Treasury to make sure that he understood the magnitude of this problem and to call on him to bring all the stakeholders together to try to deal with it. So — so the question, I think, that we’ve got to ask ourselves is, yes, we’ve got to solve this problem short term. And we are going to have to intervene; there’s no doubt about that. But we’re also going to have to look at, how is it that we shredded so many regulations? We did not set up a 21st-century regulatory framework to deal with these problems. And that in part has to do with an economic philosophy that says that regulation is always bad.",0.03639866,0.88291746,0.74205256,0.723244,0.7320183,0.6989971,0.7647786,0.86017644
4,MCCAIN,I — I hope so. And I…,0.012817383,0.8400831,0.6161538,0.41152728,0.07721034,0.6941061,0.042296432,0.82787675
5,MCCAIN,Sure.,0.008796243,0.645146,0.41841447,0.51187223,0.19985782,0.49432543,0.08250451,0.71336824
6,MCCAIN,"Sure. But — but let me — let me point out, I also warned about Fannie Mae and Freddie Mac and warned about corporate greed and excess, and CEO pay, and all that. A lot of us saw this train wreck coming. But there’s also the issue of responsibility. You’ve mentioned President Dwight David Eisenhower. President Eisenhower, on the night before the Normandy invasion, went into his room, and he wrote out two letters. One of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever. And he wrote out another letter, and that was a letter of resignation from the United States Army for the failure of the landings at Normandy. Somehow we’ve lost that accountability. I’ve been heavily criticized because I called for the resignation of the chairman of the Securities and Exchange Commission. We’ve got to start also holding people accountable, and we’ve got to reward people who succeed. But somehow in Washington today — and I’m afraid on Wall Street — greed is rewarded, excess is rewarded, and corruption — or certainly failure to carry out our responsibility is rewarded. As president of the United States, people are going to be held accountable in my administration. And I promise you that that will happen.",0.10739898,0.9000284,0.61781675,0.5677861,0.82849365,0.68575925,0.74959785,0.8784492
7,OBAMA,"Well, I think Senator McCain’s absolutely right that we need more responsibility, but we need it not just when there’s a crisis. I mean, we’ve had years in which the reigning economic ideology has been what’s good for Wall Street, but not what’s good for Main Street. And there are folks out there who’ve been struggling before this crisis took place. And that’s why it’s so important, as we solve this short-term problem, that we look at some of the underlying issues that have led to wages and incomes for ordinary Americans to go down, the — a health care system that is broken, energy policies that are not working, because, you know, 10 days ago, John said that the fundamentals of the economy are sound.",0.03734144,0.8766467,0.8707226,0.54993176,0.8160918,0.2763869,0.78700876,0.88757557
8,OBAMA,I do not think that they are.,0.01608456,0.5762543,0.26587954,0.29462904,0.10077741,0.5134133,0.045988884,0.7305031
9,OBAMA,"Well, the — John, 10 days ago, you said that the fundamentals of the economy are sound. And…",0.013885498,0.17470887,0.071320266,0.7218074,0.17501675,0.08766961,0.12897182,0.7407298
10,MCCAIN,Are you afraid I couldn’t hear him?,0.017466826,0.32069492,0.3298799,0.7988231,0.07850564,0.39312562,0.004907096,0.5389349
