textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,ROMNEY,"Thank you, Jeremy. I appreciate your — your question, and thank you for being here this evening and to all of those from Nassau County that have come, thank you for your time. Thank you to Hofstra University and to Candy Crowley for organizing and leading this — this event. Thank you, Mr. President, also for being part of this — this debate. Your question — your question is one that’s being asked by college kids all over this country. I was in Pennsylvania with someone who had just graduated — this was in Philadelphia — and she said, “I’ve got my degree. I can’t find a job. I’ve got three part- time jobs. They’re just barely enough to pay for my food and pay for an apartment. I can’t begin to pay back my student loans.” So what we have to do is two things. We have to make sure that we make it easier for kids to afford college.",0.031684756,0.8970198,0.85356337,0.6543858,0.7368543,0.8135258,0.7265571,0.9067199
2,ROMNEY,"And also make sure that when they get out of college, there’s a job. When I was governor of Massachusetts, to get a high school degree, you had to pass an exam. If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship, four years tuition free in the college of your choice in Massachusetts, it’s a public institution. I want to make sure we keep our Pell grant program growing. We’re also going to have our loan program, so that people are able to afford school. But the key thing is to make sure you can get a job when you get out of school. And what’s happened over the last four years has been very, very hard for America’s young people. I want you to be able to get a job. I know what it takes to get this economy going. With half of college kids graduating this year without a college — excuse me, without a job. And without a college level job, that’s just unacceptable. And likewise you’ve got more and more debt on your back. So more debt and less jobs. I’m going to change that. I know what it takes to create good jobs again. I know what it takes to make sure that you have the kind of opportunity you deserve. And kids across this country are going to recognize, we’re bringing back an economy. It’s not going to be like the last four years. The middle-class has been crushed over the last four years, and jobs have been too scarce. I know what it takes to bring them back, and I’m going to do that, and make sure that when you graduate — when do you graduate?",0.027088705,0.8610753,0.8689108,0.25284275,0.8520741,0.6822952,0.85595626,0.7764668
3,ROMNEY,"2014. When you come out in 2014, I presume I’m going to be president. I’m going to make sure you get a job. Thanks Jeremy. Yeah, you bet.",0.04067813,0.86566865,0.42819625,0.33707756,0.07463925,0.64008063,0.10891146,0.75735354
4,OBAMA,"Jeremy, first of all, your future is bright. And the fact that you’re making an investment in higher education is critical. Not just to you, but to the entire nation. Now, the most important thing we can do is to make sure that we are creating jobs in this country. But not just jobs, good paying jobs. Ones that can support a family.",0.011623607,0.9027745,0.8707226,0.34698093,0.40838578,0.30789703,0.6808723,0.94207793
5,OBAMA,"And what I want to do, is build on the five million jobs that we’ve created over the last 30 months in the private sector alone. And there are a bunch of things we can do to make sure your future is bright. Number one, I want to build manufacturing jobs in this country again. Now when Governor Romney said we should let Detroit go bankrupt. I said we’re going to bet on American workers and the American auto industry and it’s come surging back. I want to do that in industries, not just in Detroit, but all across the country and that means we change our tax code so we’re giving incentives to companies that are investing here in the United States and creating jobs here. It also means we’re helping them and small businesses to export all around the world to new markets. Number two, we’ve got to make sure that we have the best education system in the world. And the fact that you’re going to college is great, but I want everybody to get a great education and we’ve worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future. Number three, we’ve got to control our own energy. Now, not only oil and natural gas, which we’ve been investing in; but also, we’ve got to make sure we’re building the energy source of the future, not just thinking about next year, but ten years from now, 20 years from now. That’s why we’ve invested in solar and wind and biofuels, energy efficient cars. We’ve got to reduce our deficit, but we’ve got to do it in a balanced way. Asking the wealthy to pay a little bit more along with cuts so that we can invest in education like yours. And let’s take the money that we’ve been spending on war over the last decade to rebuild America, roads, bridges schools. We do those things, not only is your future going to be bright but America’s future is going to bright as well.",0.07845957,0.8850141,0.7837348,0.19174455,0.8453275,0.55161005,0.90312505,0.88690627
6,OBAMA,"Well what you’re seeing in this country is 23 million people struggling to find a job. And a lot of them, as you say, Candy, have been out of work for a long, long, long time. The president’s policies have been exercised over the last four years and they haven’t put Americans back to work. We have fewer people working today than we had when the president took office. If the — the unemployment rate was 7.8 percent when he took office, it’s 7.8 percent now. But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent. We have not made the progress we need to make to put people back to work. That’s why I put out a five-point plan that gets America 12 million new jobs in four years and rising take-home pay. It’s going to help Jeremy get a job when he comes out of school. It’s going to help people across the country that are unemployed right now. And one thing that the president said, which I want to make sure that we understand, he said that I said we should take Detroit bankrupt. And that’s right. My plan was to have the company go through bankruptcy like 7-Eleven did and Macy’s and Condell Airlines and come out stronger. And I know he keeps saying, you want to take Detroit bankrupt. Well, the president took Detroit bankrupt. You took General Motors bankrupt. You took Chrysler bankrupt. So when you say that I wanted to take the auto industry bankrupt, you actually did. And I think it’s important to know that that was a process that was necessary to get those companies back on their feet, so they could start hiring more people. That was precisely what I recommended and ultimately what happened.",0.08241652,0.892619,0.86086726,0.6272983,0.87423044,0.732105,0.895189,0.85636234
7,ROMNEY,That — that Detroit — that Detroit answer…,0.017341165,0.44872412,0.2707453,0.6328792,0.050319668,0.22465663,0.010759453,0.67051303
8,ROMNEY,… that Detroit answer…,0.013382856,0.40150738,0.2707453,0.59646475,0.07336327,0.31247786,0.024089392,0.59536964
9,ROMNEY,"… and the rest of the answer, way off the mark.",0.019226074,0.12580372,0.04740486,0.44827527,0.07980745,0.0867791,0.004907096,0.41568857
10,ROMNEY,"Well, let’s look at the president’s policies, all right, as opposed to the rhetoric, because we’ve had four years of policies being played out. And the president’s right in terms of the additional oil production, but none of it came on federal land. As a matter of fact, oil production is down 14 percent this year on federal land, and gas production was down 9 percent. Why? Because the president cut in half the number of licenses and permits for drilling on federal lands, and in federal waters. So where’d the increase come from? Well a lot of it came from the Bakken Range in North Dakota. What was his participation there? The administration brought a criminal action against the people drilling up there for oil, this massive new resource we have. And what was the cost? 20 or 25 birds were killed and brought out a migratory bird act to go after them on a criminal basis. Look, I want to make sure we use our oil, our coal, our gas, our nuclear, our renewables. I believe very much in our renewable capabilities; ethanol, wind, solar will be an important part of our energy mix. But what we don’t need is to have the president keeping us from taking advantage of oil, coal and gas. This has not been Mr. Oil, or Mr. Gas, or Mr. Coal. Talk to the people that are working in those industries. I was in coal country. People grabbed my arms and said, “Please save my job.” The head of the EPA said, “You can’t build a coal plant. You’ll virtually — it’s virtually impossible given our regulations.” When the president ran for office, he said if you build a coal plant, you can go ahead, but you’ll go bankrupt. That’s not the right course for America. Let’s take advantage of the energy resources we have, as well as the energy sources for the future. And if we do that, if we do what I’m planning on doing, which is getting us energy independent, North America energy independence within eight years, you’re going to see manufacturing jobs come back. Because our energy is low cost, that are already beginning to come back because of our abundant energy. I’ll get America and North America energy independent. I’ll do it by more drilling, more permits and licenses. We’re going to bring that pipeline in from Canada. How in the world the president said no to that pipeline? I will never know.",0.061444655,0.8807005,0.84638923,0.6534473,0.9168059,0.667156,0.92088336,0.8298004
11,OBAMA,"Candy, there’s no doubt that world demand’s gone up, but our production is going up, and we’re using oil more efficiently. And very little of what Governor Romney just said is true. We’ve opened up public lands. We’re actually drilling more on public lands than in the previous administration and my — the previous president was an oil man. And natural gas isn’t just appearing magically. We’re encouraging it and working with the industry. And when I hear Governor Romney say he’s a big coal guy, I mean, keep in mind, when — Governor, when you were governor of Massachusetts, you stood in front of a coal plant and pointed at it and said, “This plant kills,” and took great pride in shutting it down. And now suddenly you’re a big champion of coal. So what I’ve tried to do is be consistent. With respect to something like coal, we made the largest investment in clean coal technology, to make sure that even as we’re producing more coal, we’re producing it cleaner and smarter. Same thing with oil, same thing with natural gas. And the proof is our oil imports are down to the lowest levels in 20 years. Oil production is up, natural gas production is up, and, most importantly, we’re also starting to build cars that are more efficient. And that’s creating jobs. That means those cars can be exported, ’cause that’s the demand around the world, and it also means that it’ll save money in your pocketbook.",0.08241652,0.8766467,0.6161538,0.34367463,0.847493,0.6885364,0.8838378,0.8482177
12,OBAMA,"That’s the strategy you need, an all-of-the-above strategy, and that’s what we’re going to do in the next four years.",0.012754552,0.5673467,0.4579505,0.36358526,0.08641282,0.085893385,0.29029056,0.84292614
13,ROMNEY,"But that’s not what you’ve done in the last four years. That’s the problem. In the last four years, you cut permits and licenses on federal land and federal waters in half.",0.010995304,0.29854265,0.4579505,0.28168398,0.40269867,0.21249197,0.45990488,0.4111868
14,OBAMA,"Not true, Governor Romney.",0.026028076,0.17470887,0.08678792,0.45134112,0.08641282,0.12561269,0.045059014,0.5857847
15,ROMNEY,So how much did you cut ?,0.09611836,0.26881334,0.16659996,0.89000267,0.10646603,0.4923819,0.028247233,0.4982369
16,OBAMA,Not true.,0.009236055,0.34428877,0.20460455,0.38030803,0.13093169,0.34038833,0.064521715,0.65025157
17,ROMNEY,"How much did you cut them by, then?",0.13214645,0.14659832,0.13845752,0.9071593,0.09317882,0.31247786,0.028247233,0.4893925
18,OBAMA,"Governor, we have actually produced more oil —",0.009298885,0.23565333,0.1625211,0.4912762,0.23700446,0.65083784,0.26199755,0.67838573
19,ROMNEY,"No, no. How much did you cut licenses and permits on federal land and federal waters?",0.010555492,0.19607584,0.08233969,0.9173725,0.19263089,0.25447714,0.10533433,0.25324148
20,OBAMA,"Governor Romney, here’s what we did. There were a whole bunch of oil companies.",0.024849601,0.3028177,0.06728792,0.28168398,0.117999926,0.34038833,0.097141095,0.51710594
21,ROMNEY,"No, no, I had a question and the question was how much did you cut them by?",0.09351514,0.3028177,0.10744284,0.8710618,0.16807398,0.5534614,0.059484657,0.6410067
22,OBAMA,You want me to answer a question —,0.021314176,0.23565333,0.07800866,0.83670837,0.07980745,0.2205297,0.013785004,0.5093774
23,ROMNEY,How much did you cut them by?,0.1641865,0.18180253,0.13845752,0.9067071,0.10646603,0.39312562,0.03338158,0.47185203
24,OBAMA,I’m happy to answer the question.,0.009675868,0.75881344,0.535495,0.57034683,0.075921565,0.52780753,0.07600712,0.8658525
25,ROMNEY,All right. And it is —,0.014639461,0.4670914,0.33486533,0.5877885,0.06832278,0.50213134,0.043212753,0.71938
26,OBAMA,"Here’s what happened. You had a whole bunch of oil companies who had leases on public lands that they weren’t using. So what we said was you can’t just sit on this for 10, 20, 30 years, decide when you want to drill, when you want to produce, when it’s most profitable for you. These are public lands. So if you want to drill on public lands, you use it or you lose it.",0.025085296,0.112080015,0.52482206,0.27203026,0.5725131,0.15809801,0.6794257,0.41568857
27,ROMNEY,"OK, —",0.012880214,0.669544,0.41598007,0.6014257,0.17153801,0.49822178,0.08032035,0.7390203
28,OBAMA,And so what we did was take away those leases. And we are now reletting them so that we can actually make a profit.,0.013131535,0.14659832,0.22768863,0.25922137,0.27945936,0.5152022,0.46946162,0.7293719
29,ROMNEY,And production on private — on government land —,0.0064086914,0.15358509,0.094721004,0.6902619,0.19985782,0.21249197,0.08916544,0.35338908
30,OBAMA,Production is up.,0.0143253105,0.35853672,0.28050908,0.3011325,0.17851025,0.49432543,0.16179405,0.68789035
31,ROMNEY,— is down.,0.031331215,0.34428877,0.23711215,0.37360445,0.12436983,0.4447776,0.083603315,0.6548995
32,OBAMA,"No, it isn’t.",0.009298885,0.27303895,0.20909274,0.31740737,0.067078255,0.237314,0.027406916,0.57816774
33,ROMNEY,Production on government land of oil is down 14 percent.,0.009110395,0.13270746,0.20029442,0.09259545,0.34611374,0.43171954,0.39422637,0.46750137
34,OBAMA,Governor —,0.0029216092,0.5314953,0.37545913,0.49640843,0.19622535,0.49044213,0.08692732,0.6974527
35,ROMNEY,And production on gas —,0.011623607,0.21934268,0.09043232,0.5473918,0.2219624,0.33100215,0.16657384,0.49380696
36,OBAMA,It’s just not true.,0.012440401,0.22748272,0.275634,0.09484769,0.060951967,0.1853292,0.04047755,0.5071406
37,ROMNEY,"It’s absolutely true. Look, there’s no question but the people recognize that we have not produced more on federal lands and in federal waters. And coal, coal production is not up; coal jobs are not up. I was just at a coal facility, where some 1,200 people lost their jobs. The right course for America is to have a true all-of-the-above policy. I don’t think anyone really believes that you’re a person who’s going to be pushing for oil and gas and coal. You’ll get your chance in a moment. I’m still speaking.",0.0438942,0.8673678,0.7376271,0.6272983,0.79321665,0.52780753,0.7697606,0.84850377
38,OBAMA,Well —,0.010995304,0.5851888,0.3957108,0.6384722,0.17153801,0.48464248,0.06759904,0.70546687
39,ROMNEY,And the answer is I don’t believe people think that’s the case —,0.019854378,0.5222607,0.29028806,0.54993176,0.09455179,0.5943669,0.0497534,0.6030863
40,OBAMA,— .,0.009487377,0.59408754,0.38564745,0.45748383,0.2182394,0.500175,0.09029133,0.679965
41,ROMNEY,That wasn’t the question.,0.009487377,0.2772712,0.10091686,0.71807504,0.10646603,0.17498808,0.020841356,0.55745804
42,OBAMA,OK.,0.012063419,0.5629027,0.355006,0.5296796,0.17851025,0.4535681,0.079235196,0.71787465
43,ROMNEY,"That was a statement. I don’t think the American people believe that. I will fight for oil, coal and natural gas. And the proof, the proof of whether a strategy is working or not is what the price is that you’re paying at the pump. If you’re paying less than you paid a year or two ago, why, then, the strategy is working. But you’re paying more. When the president took office, the price of gasoline here in Nassau County was about $1.86 a gallon. Now, it’s $4.00 a gallon. The price of electricity is up. If the president’s energy policies are working, you’re going to see the cost of energy come down. I will fight to create more energy in this country, to get America energy secure. And part of that is bringing in a pipeline of oil from Canada, taking advantage of the oil and coal we have here, drilling offshore in Alaska, drilling offshore in Virginia where the people want it. Those things will get us the energy we need.",0.048099842,0.8707761,0.75093645,0.5915038,0.847493,0.62677956,0.894178,0.8193041
44,OBAMA,"Well, think about what the governor — think about what the governor just said. He said when I took office, the price of gasoline was $1.80, $1.86. Why is that? Because the economy was on the verge of collapse, because we were about to go through the worst recession since the Great Depression, as a consequence of some of the same policies that Governor Romney’s now promoting. So, it’s conceivable that Governor Romney could bring down gas prices because with his policies, we might be back in that same mess. What I want to do is to create an economy that is strong, and at the same time produce energy. And with respect to this pipeline that Governor Romney keeps on talking about, we’ve — we’ve built enough pipeline to wrap around the entire earth once. So, I’m all for pipelines. I’m all for oil production. What I’m not for is us ignoring the other half of the equation. So, for example, on wind energy, when Governor Romney says “these are imaginary jobs.” When you’ve got thousands of people right now in Iowa, right now in Colorado, who are working, creating wind power with good-paying manufacturing jobs, and the Republican senator in that — in Iowa is all for it, providing tax breaks to help this work and Governor Romney says I’m opposed. I’d get rid of it. That’s not an energy strategy for the future. And we need to win that future. And I intend to win it as President of the United States.",0.1013248,0.8984463,0.70499575,0.42085955,0.8690349,0.664421,0.862487,0.8763964
45,ROMNEY,He gets the first —,0.02072494,0.31139624,0.20460455,0.27524287,0.12764418,0.3217009,0.07600712,0.65025157
46,ROMNEY,He actually got —,0.016964182,0.37760857,0.31009308,0.46056077,0.1611895,0.5134133,0.059484657,0.6272686
47,ROMNEY,He actually got the first question. So I get the last question — last answer —,0.021432023,0.54517925,0.14242034,0.5853141,0.10361524,0.6548975,0.064521715,0.7881361
48,ROMNEY,"Candy, Candy —",2.208878e-4,0.34428877,0.24661607,0.3011325,0.091812566,0.43171954,0.0497534,0.65334845
49,ROMNEY,"Candy, I don’t have a policy of stopping wind jobs in Iowa and that — they’re not phantom jobs. They’re real jobs.",0.014450971,0.659063,0.43804434,0.4084155,0.3095267,0.6521894,0.36130983,0.80721223
50,ROMNEY,I appreciate wind jobs in Iowa and across our country. I appreciate the jobs in coal and oil and gas. I’m going to make sure —,0.01005285,0.9101142,0.73211163,0.21843931,0.29122937,0.73125845,0.44456688,0.9048312
51,ROMNEY,"— we’re taking advantage of our energy resources. We’ll bring back manufacturing to America. We’re going to get through a very aggressive energy policy, 31/2 million more jobs in this country. It’s critical to our future.",0.017089844,0.61555785,0.45045376,0.08704651,0.46015236,0.3689464,0.6208336,0.8480307
52,OBAMA,"Candy, it’s not going to —",0.01646154,0.25208217,0.41094556,0.09036188,0.057352178,0.506055,0.039574955,0.6172022
53,OBAMA,Used to being interrupted.,0.05280026,0.513052,0.29028806,0.3602536,0.13755322,0.6334105,0.07281966,0.5934472
54,ROMNEY,"Hi, Mary.",0.0066600125,0.68710047,0.5226974,0.5729101,0.12436983,0.54056185,0.06350499,0.80927426
55,OBAMA,You’re doing great.,0.021785567,0.7347321,0.76042014,0.32067287,0.064608715,0.2205297,0.08250451,0.8757104
56,ROMNEY,"Thank you very much. And let me tell you, you’re absolutely right about part of that, which is I want to bring the rates down, I want to simplify the tax code, and I want to get middle- income taxpayers to have lower taxes. And the reason I want middle-income taxpayers to have lower taxes is because middle-income taxpayers have been buried over the past four years. You’ve seen, as middle-income people in this country, incomes go down $4,300 a family, even as gasoline prices have gone up $2,000. Health insurance premiums, up $2,500. Food prices up. Utility prices up. The middle-income families in America have been crushed over the last four years. So I want to get some relief to middle-income families. That’s part — that’s part one. Now, how about deductions? ‘Cause I’m going to bring rates down across the board for everybody, but I’m going to limit deductions and exemptions and credits, particularly for people at the high end, because I am not going to have people at the high end pay less than they’re paying now. The top 5 percent of taxpayers will continue to pay 60 percent of the income tax the nation collects. So that’ll stay the same. Middle-income people are going to get a tax break. And so, in terms of bringing down deductions, one way of doing that would be say everybody gets — I’ll pick a number — $25,000 of deductions and credits, and you can decide which ones to use. Your home mortgage interest deduction, charity, child tax credit, and so forth, you can use those as part of filling that bucket, if you will, of deductions. But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains. No tax on your savings. That makes life a lot easier. If you’re getting interest from a bank, if you’re getting a statement from a mutual fund or any other kind of investment you have, you don’t have to worry about filing taxes on that, because there’ll be no taxes for anybody making $200,000.00 per year and less, on your interest, dividends and capital gains. Why am I lowering taxes on the middle-class? Because under the last four years, they’ve been buried. And I want to help people in the middle-class. And I will not — I will not under any circumstances, reduce the share that’s being paid by the highest income taxpayers. And I will not, under any circumstances increase taxes on the middle-class. The president’s spending, the president’s borrowing will cost this nation to have to raise taxes on the American people. Not just at the high end. A recent study has shown the people in the middle-class will see $4,000.00 per year in higher taxes as a result of the spending and borrowing of this administration. I will not let that happen. I want to get us on track to a balanced budget, and I’m going to reduce the tax burden on middle income families. And what’s that going to do? It’s going to help those families, and it’s going to create incentives to start growing jobs again in this country.",0.03734144,0.8293134,0.8757588,0.42389053,0.84911317,0.5993944,0.90214795,0.72541374
57,OBAMA,"My philosophy on taxes has been simple. And that is, I want to give middle-class families and folks who are striving to get into the middle-class some relief. Because they have been hit hard over the last decade. Over the last 15, over the last 20 years. So four years ago I stood on a stage just like this one. Actually it was a town hall, and I said I would cut taxes for middle- class families, and that’s what I’ve done, by $3,600.00. I said I would cut taxes for small businesses, who are the drivers and engines of growth. And we’ve cut them 18 times. And I want to continue those tax cuts for middle-class families, and for small business. But what I’ve also said is, if we’re serious about reducing the deficit, if this is genuinely a moral obligation to the next generation, then in addition to some tough spending cuts, we’ve also got to make sure that the wealthy do a little bit more. So what I’ve said is, your first $250,000.00 worth of income, no change. And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase. I’m ready to sign that bill right now. The only reason it’s not happening is because Governor Romney’s allies in Congress have held the 98 percent hostage because they want tax breaks for the top 2 percent. But what I’ve also says is for above $250,000, we can go back to the tax rates we had when Bill Clinton was president. We created 23 million new jobs. That’s part of what took us from deficits to surplus. It will be good for our economy and it will be good for job creation. Now, Governor Romney has a different philosophy. He was on 60 Minutes just two weeks ago and he was asked: Is it fair for somebody like you, making $20 million a year, to pay a lower tax rate than a nurse or a bus driver, somebody making $50,000 year? And he said, “Yes, I think that’s fair.” Not only that, he said, “I think that’s what grows the economy.” Well, I fundamentally disagree with that. I think what grows the economy is when you get that tax credit that we put in place for your kids going to college. I think that grows the economy. I think what grows the economy is when we make sure small businesses are getting a tax credit for hiring veterans who fought for our country. That grows our economy. So we just have a different theory. And when Governor Romney stands here, after a year of campaigning, when during a Republican primary he stood on stage and said “I’m going to give tax cuts” — he didn’t say tax rate cuts, he said “tax cuts to everybody,” including the top 1 percent, you should believe him because that’s been his history. And that’s exactly the kind of top-down economics that is not going to work if we want a strong middle class and an economy that’s striving for everybody.",0.063423134,0.8627643,0.79871804,0.41464335,0.87732154,0.7359207,0.87308127,0.85930043
58,OBAMA,"No, it’s not settled. Look, the cost of lowering rates for everybody across the board, 20 percent. Along with what he also wants to do in terms of eliminating the estate tax, along what he wants to do in terms of corporates, changes in the tax code, it costs about $5 trillion. Governor Romney then also wants to spend $2 trillion on additional military programs even though the military’s not asking for them. That’s $7 trillion. He also wants to continue the Bush tax cuts for the wealthiest Americans. That’s another trillion dollars — that’s $8 trillion. Now, what he says is he’s going to make sure that this doesn’t add to the deficit and he’s going to cut middleclass taxes. But when he’s asked, how are you going to do it, which deductions, which loopholes are you going to close? He can’t tell you. The — the fact that he only has to pay 14 percent on his taxes when a lot of you are paying much higher. He’s already taken that off the board, capital gains are going to continue to be at a low rate so we — we’re not going to get money that way. We haven’t heard from the governor any specifics beyond Big Bird and eliminating funding for Planned Parenthood in terms of how he pays for that. Now, Governor Romney was a very successful investor. If somebody came to you, Governor, with a plan that said, here, I want to spend $7 or $8 trillion, and then we’re going to pay for it, but we can’t tell you until maybe after the election how we’re going to do it, you wouldn’t take such a sketchy deal and neither should you, the American people, because the math doesn’t add up. And — and what’s at stake here is one of two things, either Candy — this blows up the deficit because keep in mind, this is just to pay for the additional spending that he’s talking about, $7 trillion – $8 trillion before we even get to the deficit we already have. Or, alternatively, it’s got to be paid for, not only by closing deductions for wealthy individuals, that — that will pay for about 4 percent reduction in tax rates. You’re going to be paying for it. You’re going to lose some deductions, and you can’t buy the sales pitch. Nobody who’s looked at it that’s serious, actually believes it adds up.",0.08083374,0.4855708,0.6928823,0.5729101,0.8499219,0.30789703,0.8686648,0.63182990000000006
59,ROMNEY,I — I…,0.0047436883,0.669544,0.355006,0.5626723,0.19622535,0.60068077,0.0665686,0.6736572
60,ROMNEY,"Well of course they add up. I — I was — I was someone who ran businesses for 25 years, and balanced the budget. I ran the Olympics and balanced the budget. I ran the — the state of Massachusetts as a governor, to the extent any governor does, and balanced the budget all four years. When we’re talking about math that doesn’t add up, how about $4 trillion of deficits over the last four years, $5 trillion? That’s math that doesn’t add up. We have — we have a president talking about someone’s plan in a way that’s completely foreign to what my real plan is.",0.08479069,0.88242435,0.57676435,0.64033943,0.77281123,0.82510036,0.6649057,0.85618675
61,ROMNEY,"And then we have his own record, which is we have four consecutive years where he said when he was running for office, he would cut the deficit in half. Instead he’s doubled it. We’ve gone from $10 trillion of national debt, to $16 trillion of national debt. If the president were reelected, we’d go to almost $20 trillion of national debt. This puts us on a road to Greece. I know what it takes to balance budgets. I’ve done it my entire life. So for instance when he says, “Yours is a $5 trillion cut.” Well, no it’s not. Because I’m offsetting some of the reductions with holding down some of the deductions. And…",0.10045706,0.67304623,0.53335375,0.38366714,0.70375955,0.6427608,0.7124149,0.7078785
62,ROMNEY,"And I just described — I just described to you, Mr. President — I just described to you precisely how I’d do it which is with a single number that people can put — and they can put they’re — they’re deductions and credits…",0.014827953,0.7189549,0.43065208,0.46056077,0.2294551,0.4145413,0.27785072,0.83320534
63,OBAMA,"Well, Katherine, that’s a great question. And, you know, I was raised by a single mom who had to put herself through school while looking after two kids. And she worked hard every day and made a lot of sacrifices to make sure we got everything we needed. My grandmother, she started off as a secretary in a bank. She never got a college education, even though she was smart as a whip. And she worked her way up to become a vice president of a local bank, but she hit the glass ceiling. She trained people who would end up becoming her bosses during the course of her career. She didn’t complain. That’s not what you did in that generation. And this is one of the reasons why one of the first — the first bill I signed was something called the Lily Ledbetter bill. And it’s named after this amazing woman who had been doing the same job as a man for years, found out that she was getting paid less, and the Supreme Court said that she couldn’t bring suit because she should have found about it earlier, whereas she had no way of finding out about it. So we fixed that. And that’s an example of the kind of advocacy that we need, because women are increasingly the breadwinners in the family. This is not just a women’s issue, this is a family issue, this is a middle-class issue, and that’s why we’ve got to fight for it. It also means that we’ve got to make sure that young people like yourself are able to afford a college education. Earlier, Governor Romney talked about he wants to make Pell Grants and other education accessible for young people. Well, the truth of the matter is, is that that’s exactly what we’ve done. We’ve expanded Pell Grants for millions of people, including millions of young women, all across the country. We did it by taking $60 billion that was going to banks and lenders as middlemen for the student loan program, and we said, let’s just cut out the middleman. Let’s give the money directly to students. And as a consequence, we’ve seen millions of young people be able to afford college, and that’s going to make sure that young women are going to be able to compete in that marketplace. But we’ve got to enforce the laws, which is what we are doing, and we’ve also got to make sure that in every walk of life we do not tolerate discrimination. That’s been one of the hallmarks of my administration. I’m going to continue to push on this issue for the next four years.",0.1373533,0.89978033,0.87522185,0.60510296,0.8700783,0.789812,0.82057154,0.8637604
64,ROMNEY,"Thank you. And important topic, and one which I learned a great deal about, particularly as I was serving as governor of my state, because I had the chance to pull together a cabinet and all the applicants seemed to be men. And I — and I went to my staff, and I said, “How come all the people for these jobs are — are all men.” They said, “Well, these are the people that have the qualifications.” And I said, “Well, gosh, can’t we — can’t we find some — some women that are also qualified?”",0.15324512,0.87787354,0.5745656,0.70751685,0.4738485,0.7916019,0.42400908,0.8634986
