textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
1,CLINTON,"Thank you very much, Chris. And thanks to UNLV for hosting us. You know, I think when we talk about the Supreme Court, it really raises the central issue in this election, namely, what kind of country are we going to be? What kind of opportunities will we provide for our citizens? What kind of rights will Americans have? And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy. For me, that means that we need a Supreme Court that will stand up on behalf of women’s rights, on behalf of the rights of the LGBT community, that will stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come into our electoral system. I have major disagreements with my opponent about these issues and others that will be before the Supreme Court. But I feel that at this point in our country’s history, it is important that we not reverse marriage equality, that we not reverse Roe v. Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us. That’s how I see the court, and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up to the powerful, standing up on behalf of our rights as Americans. And I look forward to having that opportunity. I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them. That’s the way the Constitution fundamentally should operate. The president nominates, and then the Senate advises and consents, or not, but they go forward with the process.",0.04067813,0.89373434,0.78147876,0.5865508,0.81101775,0.6454473,0.8664323,0.9057772
2,TRUMP,"Well, first of all, it’s great to be with you, and thank you, everybody. The Supreme Court: It’s what it’s all about. Our country is so, so—it’s just so imperative that we have the right justices. Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent. And she was forced to apologize. And apologize she did. But these were statements that should never, ever have been made. We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege. I believe if my opponent should win this race, which I truly don’t think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now. But I feel that it’s absolutely important that we uphold, because of the fact that it is under such trauma. I feel that the justices that I am going to appoint—and I’ve named 20 of them—the justices that I’m going to appoint will be pro-life. They will have a conservative bent. They will be protecting the Second Amendment. They are great scholars in all cases, and they’re people of tremendous respect. They will interpret the Constitution the way the founders wanted it interpreted. And I believe that’s very, very important. I don’t think we should have justices appointed that decide what they want to hear. It’s all about the Constitution of—of—and so important, the Constitution the way it was meant to be. And those are the people that I will appoint.",0.10653123,0.9564889,0.8680025,0.60510296,0.77955836,0.7834152,0.73777723,0.9045151
3,CLINTON,"Well, first of all, I support the Second Amendment. I lived in Arkansas for 18 wonderful years. I represented upstate New York. I understand and respect the tradition of gun ownership. It goes back to the founding of our country. But I also believe that there can be and must be reasonable regulation. Because I support the Second Amendment doesn’t mean that I want people who shouldn’t have guns to be able to threaten you, kill you or members of your family. And so when I think about what we need to do, we have 33,000 people a year who die from guns. I think we need comprehensive background checks, need to close the online loophole, close the gun show loophole. There’s other matters that I think are sensible that are the kind of reforms that would make a difference that are not in any way conflicting with the Second Amendment. You mentioned the Heller decision. And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them. And the court didn’t accept that reasonable regulation, but they’ve accepted many others. So I see no conflict between saving people’s lives and defending the Second Amendment.",0.23739935,0.87517625,0.827006,0.72986096,0.8978622,0.7148635,0.9145193,0.8791316
4,TRUMP,"Well, the D.C. vs. Heller decision was very strongly—and she was extremely angry about it. I watched. I mean, she was very, very angry when upheld. And Justice Scalia was so involved. And it was a well-crafted decision. But Hillary was extremely upset, extremely angry. And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say.",0.050821137,0.9041269,0.7094724,0.584078,0.6767316,0.7308353,0.7363798,0.8784492
5,CLINTON,"Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions. But there’s no doubt that I respect the Second Amendment, that I also believe there’s an individual right to bear arms. That is not in conflict with sensible, commonsense regulation. And, you know, look, I understand that Donald’s been strongly supported by the NRA. The gun lobby’s on his side. They’re running millions of dollars of ads against me. And I regret that, because what I would like to see is for people to come together and say: of course we’re going to protect and defend the Second Amendment. But we’re going to do it in a way that tries to save some of these 33,000 lives that we lose every year.",0.2412222,0.85914946,0.8889399,0.45748383,0.82188284,0.5590329,0.774719,0.85117674
6,TRUMP,"Well, let me just tell you before we go any further. In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city. So we have the toughest laws, and you have tremendous gun violence. I am a very strong supporter of the Second Amendment. And I am—I don’t know if Hillary was saying it in a sarcastic manner, but I’m very proud to have the endorsement of the NRA. And it’s the earliest endorsement they’ve ever given to anybody who ran for president. So I’m very honored by all of that. We are going to appoint justices—this is the best way to help the Second Amendment. We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment.",0.16098402,0.9181094,0.80140984,0.7160671,0.790487,0.56462914,0.7209151,0.8779369
7,TRUMP,Right.,0.008984734,0.5896652,0.3298799,0.59646475,0.18554118,0.45798835,0.078154646,0.68471515
8,TRUMP,"Well, if that would happen, because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states.",0.013005874,0.85963047,0.49291897,0.5626723,0.18554118,0.5080226,0.39946103,0.84725434
9,TRUMP,"If they overturned it, it will go back to the states.",0.014513801,0.097604394,0.08951421,0.37026033,0.11220652,0.0867791,0.1491569,0.329258
10,TRUMP,"Well, if we put another two or perhaps three justices on, that’s really what’s going to be—that will happen. And that’ll happen automatically, in my opinion, because I am putting pro-life justices on the court. I will say this: It will go back to the states, and the states will then make a determination.",0.013382856,0.76378906,0.41094556,0.37360445,0.3648401,0.23307432,0.4437381,0.8404233
