year,debate,textId,speaker,text,TOXICITY,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL
2004,A,1,KERRY,"Yes, I do. But before I answer further, let me thank you for moderating. I want to thank the University of Miami for hosting us. And I know the president will join me in welcoming all of Florida to this debate. You’ve been through the roughest weeks anybody could imagine. Our hearts go out to you. And we admire your pluck and perseverance. I can make American safer than President Bush has made us. And I believe President Bush and I both love our country equally. But we just have a different set of convictions about how you make America safe. I believe America is safest and strongest when we are leading the world and we are leading strong alliances. I’ll never give a veto to any country over our security. But I also know how to lead those alliances. This president has left them in shatters across the globe, and we’re now 90 percent of the casualties in Iraq and 90 percent of the costs. I think that’s wrong, and I think we can do better. I have a better plan for homeland security. I have a better plan to be able to fight the war on terror by strengthening our military, strengthening our intelligence, by going after the financing more authoritatively, by doing what we need to do to rebuild the alliances, by reaching out to the Muslim world, which the president has almost not done, and beginning to isolate the radical Islamic Muslims, not have them isolate the United States of America. I know I can do a better job in Iraq. I have a plan to have a summit with all of the allies, something this president has not yet achieved, not yet been able to do to bring people to the table. We can do a better job of training the Iraqi forces to defend themselves, and I know that we can do a better job of preparing for elections. All of these, and especially homeland security, which we’ll talk about a little bit later.",0.045873325,0.93486196,0.8282249,0.6450139,0.8379774,0.63474107,0.8774332,0.93794256
2004,A,2,BUSH,"I, too, thank the University of Miami, and say our prayers are with the good people of this state, who’ve suffered a lot. September the 11th changed how America must look at the world. And since that day, our nation has been on a multi-pronged strategy to keep our country safer. We pursued Al Qaida wherever Al Qaida tries to hide. Seventy-five percent of known Al Qaida leaders have been brought to justice. The rest of them know we’re after them. We’ve upheld the doctrine that said if you harbor a terrorist, you’re equally as guilty as the terrorist. And the Taliban are no longer in power. Ten million people have registered to vote in Afghanistan in the upcoming presidential election. In Iraq, we saw a threat, and we realized that after September the 11th, we must take threats seriously, before they fully materialize. Saddam Hussein now sits in a prison cell. America and the world are safer for it. We continue to pursue our policy of disrupting those who proliferate weapons of mass destruction. Libya has disarmed. The A.Q. Khan network has been brought to justice. And, as well, we’re pursuing a strategy of freedom around the world, because I understand free nations will reject terror. Free nations will answer the hopes and aspirations of their people. Free nations will help us achieve the peace we all want.",0.11181668,0.83696914,0.7526071,0.31414655,0.74036753,0.63474107,0.7894488,0.872441
2004,A,3,BUSH,"No, I don’t believe it’s going to happen. I believe I’m going to win, because the American people know I know how to lead. I’ve shown the American people I know how to lead. I have — I understand everybody in this country doesn’t agree with the decisions I’ve made. And I made some tough decisions. But people know where I stand. People out there listening know what I believe. And that’s how best it is to keep the peace. This nation of ours has got a solemn duty to defeat this ideology of hate. And that’s what they are. This is a group of killers who will not only kill here, but kill children in Russia, that’ll attack unmercifully in Iraq, hoping to shake our will. We have a duty to defeat this enemy. We have a duty to protect our children and grandchildren. The best way to defeat them is to never waver, to be strong, to use every asset at our disposal, is to constantly stay on the offensive and, at the same time, spread liberty. And that’s what people are seeing now is happening in Afghanistan. Ten million citizens have registered to vote. It’s a phenomenal statistic. That if given a chance to be free, they will show up at the polls. Forty-one percent of those 10 million are women. In Iraq, no doubt about it, it’s tough. It’s hard work. It’s incredibly hard. You know why? Because an enemy realizes the stakes. The enemy understands a free Iraq will be a major defeat in their ideology of hatred. That’s why they’re fighting so vociferously. They showed up in Afghanistan when they were there, because they tried to beat us and they didn’t. And they’re showing up in Iraq for the same reason. They’re trying to defeat us. And if we lose our will, we lose. But if we remain strong and resolute, we will defeat this enemy.",0.09611836,0.86494166,0.87611645,0.3239431,0.80267,0.572132,0.68159515,0.845511
2004,A,4,KERRY,"I believe in being strong and resolute and determined. And I will hunt down and kill the terrorists, wherever they are. But we also have to be smart, Jim. And smart means not diverting your attention from the real war on terror in Afghanistan against Osama bin Laden and taking if off to Iraq where the 9/11 Commission confirms there was no connection to 9/11 itself and Saddam Hussein, and where the reason for going to war was weapons of mass destruction, not the removal of Saddam Hussein. This president has made, I regret to say, a colossal error of judgment. And judgment is what we look for in the president of the United States of America. I’m proud that important military figures who are supporting me in this race: former Chairman of the Joint Chiefs of Staff John Shalikashvili; just yesterday, General Eisenhower’s son, General John Eisenhower, endorsed me; General Admiral William Crown; General Tony McBeak, who ran the Air Force war so effectively for his father — all believe I would make a stronger commander in chief. And they believe it because they know I would not take my eye off of the goal: Osama bin Laden. Unfortunately, he escaped in the mountains of Tora Bora. We had him surrounded. But we didn’t use American forces, the best trained in the world, to go kill him. The president relied on Afghan warlords and he outsourced that job too. That’s wrong.",0.39987978,0.8804545,0.60070753,0.6143248,0.84641093,0.61233866,0.7710025,0.8909033
2004,A,5,KERRY,"Well, where do you want me to begin? First of all, he made the misjudgment of saying to America that he was going to build a true alliance, that he would exhaust the remedies of the United Nations and go through the inspections. In fact, he first didn’t even want to do that. And it wasn’t until former Secretary of State Jim Baker and General Scowcroft and others pushed publicly and said you’ve got to go to the U.N., that the president finally changed his mind — his campaign has a word for that — and went to the United Nations. Now, once there, we could have continued those inspections. We had Saddam Hussein trapped. He also promised America that he would go to war as a last resort. Those words mean something to me, as somebody who has been in combat. “Last resort.” You’ve got to be able to look in the eyes of families and say to those parents, “I tried to do everything in my power to prevent the loss of your son and daughter.” I don’t believe the United States did that. And we pushed our allies aside. And so, today, we are 90 percent of the casualties and 90 percent of the cost: $200 billion — $200 billion that could have been used for health care, for schools, for construction, for prescription drugs for seniors, and it’s in Iraq. And Iraq is not even the center of the focus of the war on terror. The center is Afghanistan, where, incidentally, there were more Americans killed last year than the year before; where the opium production is 75 percent of the world’s opium production; where 40 to 60 percent of the economy of Afghanistan is based on opium; where the elections have been postponed three times. The president moved the troops, so he’s got 10 times the number of troops in Iraq than he has in Afghanistan, where Osama bin Laden is. Does that mean that Saddam Hussein was 10 times more important than Osama bin Laden — than, excuse me, Saddam Hussein more important than Osama bin Laden? I don’t think so.",0.11036996,0.659063,0.83557650000000006,0.74630183,0.8664169,0.5571731,0.82057154,0.775303
2004,A,6,BUSH,"My opponent looked at the same intelligence I looked at and declared in 2002 that Saddam Hussein was a grave threat. He also said in December of 2003 that anyone who doubts that the world is safer without Saddam Hussein does not have the judgment to be president. I agree with him. The world is better off without Saddam Hussein. I was hoping diplomacy would work. I understand the serious consequences of committing our troops into harm’s way. It’s the hardest decision a president makes. So I went to the United Nations. I didn’t need anybody to tell me to go to the United Nations. I decided to go there myself. And I went there hoping that, once and for all, the free world would act in concert to get Saddam Hussein to listen to our demands. They passed the resolution that said, “Disclose, disarm, or face serious consequences.” I believe, when an international body speaks, it must mean what it says. Saddam Hussein had no intention of disarming. Why should he? He had 16 other resolutions and nothing took place. As a matter of fact, my opponent talks about inspectors. The facts are that he was systematically deceiving the inspectors. That wasn’t going to work. That’s kind of a pre-September 10th mentality, the hope that somehow resolutions and failed inspections would make this world a more peaceful place. He was hoping we’d turn away. But there was fortunately others beside myself who believed that we ought to take action. We did. The world is safer without Saddam Hussein.",0.112333365,0.8820548,0.7199663,0.57790685,0.8330448,0.77453774,0.74310714,0.85973847
2004,A,7,BUSH,"Jim, we’ve got the capability of doing both. As a matter of fact, this is a global effort. We’re facing a group of folks who have such hatred in their heart, they’ll strike anywhere, with any means. And that’s why it’s essential that we have strong alliances, and we do. That’s why it’s essential that we make sure that we keep weapons of mass destruction out of the hands of people like Al Qaida, which we are. But to say that there’s only one focus on the war on terror doesn’t really understand the nature of the war on terror. Of course we’re after Saddam Hussein — I mean bin Laden. He’s isolated. Seventy-five percent of his people have been brought to justice. The killer — the mastermind of the September 11th attacks, Khalid Sheik Mohammed, is in prison. We’re making progress. But the front on this war is more than just one place. The Philippines — we’ve got help — we’re helping them there to bring — to bring Al Qaida affiliates to justice there. And, of course, Iraq is a central part in the war on terror. That’s why Zarqawi and his people are trying to fight us. Their hope is that we grow weary and we leave. The biggest disaster that could happen is that we not succeed in Iraq. We will succeed. We’ve got a plan to do so. And the main reason we’ll succeed is because the Iraqis want to be free. I had the honor of visiting with Prime Minister Allawi. He’s a strong, courageous leader. He believes in the freedom of the Iraqi people. He doesn’t want U.S. leadership, however, to send mixed signals, to not stand with the Iraqi people. He believes, like I believe, that the Iraqis are ready to fight for their own freedom. They just need the help to be trained. There will be elections in January. We’re spending reconstruction money. And our alliance is strong. That’s the plan for victory. And when Iraq if free, America will be more secure.",0.15490346,0.8666391,0.7431606,0.69881445,0.8324951,0.34038833,0.7697606,0.8722684
2004,A,8,KERRY,"The president just talked about Iraq as a center of the war on terror. Iraq was not even close to the center of the war on terror before the president invaded it. The president made the judgment to divert forces from under General Tommy Franks from Afghanistan before the Congress even approved it to begin to prepare to go to war in Iraq. And he rushed the war in Iraq without a plan to win the peace. Now, that is not the judgment that a president of the United States ought to make. You don’t take America to war unless have the plan to win the peace. You don’t send troops to war without the body armor that they need. I’ve met kids in Ohio, parents in Wisconsin places, Iowa, where they’re going out on the Internet to get the state-of-the-art body gear to send to their kids. Some of them got it for a birthday present. I think that’s wrong. Humvees — 10,000 out of 12,000 Humvees that are over there aren’t armored. And you go visit some of those kids in the hospitals today who were maimed because they don’t have the armament. This president just — I don’t know if he sees what’s really happened over there. But it’s getting worse by the day. More soldiers killed in June than before. More in July than June. More in August than July. More in September than in August. And now we see beheadings. And we got weapons of mass destruction crossing the border every single day, and they’re blowing people up. And we don’t have enough troops there.",0.115658075,0.6198689,0.8493763,0.40220642,0.84641093,0.572132,0.7131252,0.7070741
2004,A,9,BUSH,Can I respond to that?,0.015519086,0.44414997,0.15040267,0.9263721,0.091812566,0.35461566,0.02004027,0.59729445
2004,A,10,BUSH,"Thank you, sir. First of all, what my opponent wants you to forget is that he voted to authorize the use of force and now says it’s the wrong war at the wrong time at the wrong place. I don’t see how you can lead this country to succeed in Iraq if you say wrong war, wrong time, wrong place. What message does that send our troops? What message does that send to our allies? What message does that send the Iraqis? No, the way to win this is to be steadfast and resolved and to follow through on the plan that I’ve just outlined.",0.12086493,0.9035429,0.7503799,0.8462778,0.48767924,0.19273871,0.5387816,0.8918957
2004,A,11,KERRY,"Yes, we have to be steadfast and resolved, and I am. And I will succeed for those troops, now that we’re there. We have to succeed. We can’t leave a failed Iraq. But that doesn’t mean it wasn’t a mistake of judgment to go there and take the focus off of Osama bin Laden. It was. Now, we can succeed. But I don’t believe this president can. I think we need a president who has the credibility to bring the allies back to the table and to do what’s necessary to make it so America isn’t doing this alone.",0.11119666,0.90924525,0.80013484,0.71225020000000006,0.5291471,0.34511116,0.5745664,0.8867388
